Time,HR,RR,Mode
24.01.17 01:04:42.210,70.000000,0.862784,Acquiring
24.01.17 01:04:42.229,70.000000,0.116144,Acquiring
24.01.17 01:04:43.072,70.000000,0.862784,Acquiring
24.01.17 01:04:44.114,70.000000,0.862784,Acquiring
24.01.17 01:04:44.690,70.000000,0.265472,Acquiring
24.01.17 01:04:44.789,70.000000,0.149328,Acquiring
24.01.17 01:04:45.076,70.000000,0.696864,Acquiring
24.01.17 01:04:46.735,70.000000,0.945744,Acquiring
24.01.17 01:04:47.461,70.000000,0.929152,Acquiring
24.01.17 01:04:47.670,70.000000,0.547536,Acquiring
24.01.17 01:04:48.401,70.000000,0.879376,Acquiring
24.01.17 01:04:49.262,70.000000,0.862784,Acquiring
24.01.17 01:04:50.239,70.000000,0.846192,Acquiring
24.01.17 01:04:51.233,70.000000,0.895968,Acquiring
24.01.17 01:04:52.382,70.000000,0.912560,Acquiring
24.01.17 01:04:52.693,70.000000,0.796416,Acquiring
24.01.17 01:04:53.695,70.000000,0.663680,Acquiring
24.01.17 01:04:54.140,70.000000,0.713456,Acquiring
24.01.17 01:04:54.821,70.000000,0.696864,Acquiring
24.01.17 01:04:55.810,70.000000,1.028704,Acquiring
24.01.17 01:04:56.996,70.000000,1.095072,Acquiring
24.01.17 01:04:57.957,70.000000,0.912560,Acquiring
24.01.17 01:04:59.032,70.000000,1.045296,Acquiring
24.01.17 01:04:59.514,70.000000,0.597312,Acquiring
24.01.17 01:05:00.182,70.000000,0.746640,Acquiring
24.01.17 01:05:01.061,70.000000,0.796416,Acquiring
24.01.17 01:05:01.948,70.000000,0.962336,Acquiring
24.01.17 01:05:02.927,70.000000,0.730048,Acquiring
24.01.17 01:05:03.502,70.000000,0.796416,Acquiring
24.01.17 01:05:04.780,70.000000,1.260992,Acquiring
24.01.17 01:05:05.658,70.000000,0.746640,Acquiring
24.01.17 01:05:06.243,70.000000,0.730048,Acquiring
24.01.17 01:05:07.022,70.000000,0.813008,Acquiring
24.01.17 01:05:08.031,70.000000,0.929152,Acquiring
24.01.17 01:05:08.972,70.000000,0.846192,Acquiring
24.01.17 01:05:10.257,70.000000,1.095072,Acquiring
24.01.17 01:05:11.027,70.000000,0.779824,Locked
24.01.17 01:05:11.593,70.000000,0.613904,Locked
24.01.17 01:05:11.982,69.000000,0.647088,Locked
24.01.17 01:05:12.680,69.000000,0.680272,Locked
24.01.17 01:05:13.347,70.000000,0.663680,Locked
