Time,GSR
24.01.17 01:05:11.024,340330.000
24.01.17 01:05:11.201,340330.000
24.01.17 01:05:11.396,340330.000
24.01.17 01:05:11.494,340330.000
24.01.17 01:05:11.608,340330.000
24.01.17 01:05:11.620,340330.000
24.01.17 01:05:11.797,340330.000
24.01.17 01:05:11.985,340330.000
24.01.17 01:05:12.184,340330.000
24.01.17 01:05:12.468,340330.000
24.01.17 01:05:12.679,340330.000
24.01.17 01:05:12.775,340330.000
24.01.17 01:05:12.969,340330.000
24.01.17 01:05:13.150,340330.000
24.01.17 01:05:13.362,340330.000
24.01.17 01:05:13.946,340330.000
24.01.17 01:05:14.145,340330.000
24.01.17 01:05:14.237,340330.000
24.01.17 01:05:14.350,340330.000
24.01.17 01:05:14.433,340330.000
24.01.17 01:05:14.613,340330.000
24.01.17 01:05:14.809,340330.000
24.01.17 01:05:15.411,340330.000
24.01.17 01:05:15.424,340330.000
24.01.17 01:05:15.520,340330.000
24.01.17 01:05:15.588,340330.000
24.01.17 01:05:15.795,340330.000
24.01.17 01:05:15.979,340330.000
24.01.17 01:05:16.579,340330.000
24.01.17 01:05:16.660,340330.000
24.01.17 01:05:16.781,340330.000
24.01.17 01:05:16.874,340330.000
24.01.17 01:05:16.966,340330.000
24.01.17 01:05:17.154,340330.000
24.01.17 01:05:17.357,340330.000
24.01.17 01:05:17.538,340330.000
24.01.17 01:05:17.743,340330.000
24.01.17 01:05:17.936,340330.000
24.01.17 01:05:18.138,340330.000
24.01.17 01:05:18.722,340330.000
24.01.17 01:05:18.908,340330.000
24.01.17 01:05:19.011,340330.000
24.01.17 01:05:19.123,340330.000
24.01.17 01:05:19.197,340330.000
24.01.17 01:05:19.391,340330.000
24.01.17 01:05:19.587,340330.000
24.01.17 01:05:19.780,340330.000
24.01.17 01:05:19.976,340330.000
24.01.17 01:05:20.170,340330.000
24.01.17 01:05:20.366,340330.000
24.01.17 01:05:20.959,340330.000
24.01.17 01:05:21.064,340330.000
24.01.17 01:05:21.171,340330.000
24.01.17 01:05:21.260,340330.000
24.01.17 01:05:21.360,340330.000
24.01.17 01:05:21.536,340330.000
24.01.17 01:05:21.741,340330.000
24.01.17 01:05:21.930,340330.000
24.01.17 01:05:22.135,340330.000
24.01.17 01:05:22.316,340330.000
24.01.17 01:05:22.518,340330.000
24.01.17 01:05:22.706,340330.000
24.01.17 01:05:22.913,340330.000
24.01.17 01:05:23.096,340330.000
24.01.17 01:05:23.392,340330.000
24.01.17 01:05:23.584,340330.000
24.01.17 01:05:23.779,340330.000
24.01.17 01:05:24.365,340330.000
24.01.17 01:05:24.470,340330.000
24.01.17 01:05:24.572,340330.000
24.01.17 01:05:24.590,340330.000
24.01.17 01:05:24.754,340330.000
24.01.17 01:05:24.948,340330.000
24.01.17 01:05:25.144,340330.000
24.01.17 01:05:25.339,340330.000
24.01.17 01:05:25.534,340330.000
24.01.17 01:05:25.742,340330.000
24.01.17 01:05:25.924,340330.000
24.01.17 01:05:26.526,340330.000
24.01.17 01:05:26.535,340330.000
24.01.17 01:05:26.713,340330.000
24.01.17 01:05:26.815,340330.000
24.01.17 01:05:26.924,340330.000
24.01.17 01:05:27.093,340330.000
24.01.17 01:05:27.305,340330.000
24.01.17 01:05:27.483,340330.000
24.01.17 01:05:27.688,340330.000
24.01.17 01:05:28.377,340330.000
24.01.17 01:05:28.459,340330.000
24.01.17 01:05:28.581,340330.000
24.01.17 01:05:28.597,340330.000
24.01.17 01:05:28.766,340330.000
24.01.17 01:05:28.946,340330.000
24.01.17 01:05:29.546,340330.000
24.01.17 01:05:29.561,340330.000
24.01.17 01:05:29.652,340330.000
24.01.17 01:05:29.738,340330.000
24.01.17 01:05:29.930,340330.000
24.01.17 01:05:30.116,340330.000
24.01.17 01:05:30.321,340330.000
24.01.17 01:05:30.506,340330.000
24.01.17 01:05:30.711,340330.000
24.01.17 01:05:30.896,340330.000
24.01.17 01:05:31.108,340330.000
24.01.17 01:05:31.691,340330.000
24.01.17 01:05:31.872,340330.000
24.01.17 01:05:31.971,340330.000
24.01.17 01:05:31.993,340330.000
24.01.17 01:05:32.080,340330.000
24.01.17 01:05:32.278,340330.000
